CustLocation,total_customers,avg_balance,total_transaction_volume
"SIGNAL SION (E) MUMBAIL",2,1289.67,0
"SIGNAL SION (E)MUMBAI",2,3544.58,0
"SIGNAL SION E MUMBAI",70,128799.66628571437,0
"SIGNAL SION-E MUMBAI",1,3060.81,0
"SIGNAL SION(E) MUMBAI",16,31330.640625000007,0
SIHUNTA,3,55599.65,0
"SIKANDAR SOLAPUR",12,3782.2099999999996,0
SIKANDRA,2,3.71,0
SIKANDRABAD,2,6.51,0
"SIKANDRI SARAI BHOPAL",2,1119.84,0
SIKAR,104,19648.432596153834,0
SILCHAR,471,56776.15525316455,0
SILIGURI,1590,48468.22594475842,0
"SILIGURI SILIGURI",1,6143.26,0
SILIGURU,3,492308.98,0
SILVASA,6,85207.70333333332,0
SILVASSA,147,111501.241632653,0
"SILVER SPRING",2,467125.865,0
"SIMADA SURAT",1,54370.97,0
SIMBEGA,1,163.87,0
SIMDEGA,26,14399.684230769239,0
SIMLA,1,31520.58,0
SIMURALI,1,11480.29,0
SINDHNUR,2,43124.42,0
SINDHUDURG,123,64553.20754098358,0
"SINDHUDURG - DISTRICT",64,8140.1014062500035,0
SINDHUDURGA,3,28254.460000000003,0
SINDRI,1,701154.23,0
"SINGAPERUMAL KOIL",2,2198.96,0
SINGAPORE,184,335609.5001630433,0
"SINGAPORE CHENNAI",5,2222.83,0
SINGBHUM,3,761.98,0
"SINGH NAGAR MOHALI",4,8927.68,0
"SINGH NAGAR NO 2 GOREGAON W MUMBAI",2,2509.77,0
"SINGH NAGAR SAS NAGAR",3,27591.7,0
"SINGH SABHA NAGPUR",16,7860.78,0
SINGHANA,1,3096.69,0
SINGHBHUM,47,22976.165106382985,0
"SINGHBHUM JAMSHEDPUR",5,5561.914,0
"SINGHBHUM KALI MANDIR TATANAGAR",2,90.86,0
SINGHBUM,4,6988.01,0
SINGHWARA,14,32300.239999999994,0
SINGRAULI,42,12874.670714285712,0
SINGTAM,8,104446.15000000001,0
SINNAR,9,75.07111111111111,0
"SINNAR DIST NASHIK",27,47001.39407407407,0
"SINNAR DISTH NASHIK",4,147601.1,0
SIOLIM,15,58949.27333333333,0
"SIOLIM BARDEZ",1,997312.52,0
"SION (E) MUMBAI",325,52154.55667692299,0
"SION E",4,30488.33,0
"SION E MUMBAI",64,33033.948437499996,0
"SION EAST MUMBAI",13,560703.4207692308,0
"SION EAST-MUMBAI",1,2938.96,0
"SION EAST, MUMBAI",12,36994.94,0
"SION HOSPITAL MUMBAI",2,208976.11,0
"SION MUMBAI",23,24542.51043478262,0
SION(E),2,217526.41,0
"SIR J J RD THANE",7,92981.20999999999,0
SIRA,6,93.82,0
SIRHIND,105,57864.531238095304,0
"SIRIFORT ROAD NEW DELHI",1,61732.36,0
SIRKAKULAM,7,65964.91000000002,0
SIRKALI,13,66461.13538461537,0
SIRMAUR,177,12582.45141242939,0
SIRMOUR,40,20133.122500000005,0
SIROHI,54,20356.852407407405,0
SIRSA,156,23842.464777070058,0
SIRSALA,9,573.9899999999999,0
SIRSI,13,18479.143846153846,0
SIRSOD,3,20978.42,0
"SISA STORE BANGALORE",34,2361483.7199999993,0
SITAMARHI,78,22288.797341772155,0
SITAPUR,92,82798.76847826088,0
"SITARAM JADHAV  MARG MUMBAI",3,5694.29,0
"SITE DELHI",5,23794.54,0
SITHAURA,1,6309.21,0
SIVAGANGA,86,14503.732674418616,0
SIVAGANGAI,67,53105.933731343284,0
"SIVAGANGAI DIST",24,14921.995833333334,0
"SIVAGANGAI DT",18,14064.520555555559,0
"SIVAGANGAI TK",10,13.580000000000002,0
SIVAGIRI,3,6409.82,0
SIVAKASI,7,17606.722857142857,0
"SIVAKASI TK",1,3639.5,0
SIVAKASI-TK,1,2681.16,0
SIVASAGAR,171,35038.743333333354,0
"SIVER PLAZA MIRA ROAD EAST THANE",11,508.1,0
SIVIDAO,13,27825.73,0
SIWAN,205,13429.525073170735,0
SIYANA,145,66165.95136986306,0
SKIEN,2,512981.6,0
"SLG DARJEELING",1,3559.84,0
"SMARAK NAGPUR",2,61328.88,0
"SO MUMBAI",8,86040.65624999999,0
"SO MUNDWA PUNE",8,128698.42999999996,0
"SO NERUL NODE-III THANE",1,47049.56,0
"SO THANE",13,92209.46076923079,0
"SOCIETY BANGALORE",8,1708419.1200000006,0
"SOCIETY GATE MUMBAI",3,1644.25,0
"SOCIETY HYDERABAD",18,13450.660000000002,0
"SOCIETY MUMBAI",19,224721.5884210526,0
"SOCIETY NO 4 MUMBAI",2,9591.85,0
"SOCIETY PUNE",17,5799.72,0
"SOCIETY SURAT",2,56075.27,0
SOCORRO,34,57030.95705882349,0
SOHANA,11,7072.779090909093,0
SOHNA,2,5296.2,0
"SOHNA ROAD GURGAON",4,258818.90249999997,0
"SOLA AHMEDABAD",12,40271.69,0
SOLAN,771,22889.256887159518,0
"SOLAN  BADDI",3,66.65,0
SOLAPUR,210,42187.38566666664,0
"SOLAPUR RD HADAPSAR",3,36982.29,0
SOLIHULL,9,594095.66,0
"SOMAJI GUDA HYDERABAD",10,5255.120000000001,0
"SOMAJIGUDA HYDERABAD",8,6503694.240000001,0
"SOMALI REGION",4,62959.17,0
"SOMESWARAPURAM TUMKUR",3,886758.2399999999,0
SONAMURA,11,969500.4336363636,0
SONAPUKUR,7,3480.330000000001,0
SONAPUR,1,43595.45,0
SONAPURA,2,22848.32,0
SONARPUR,5,14447.59,0
"SONARPUR SPORTING KOLKATA",2,23132.48,0
SONATIKARI,1,42414.01,0
SONBHADRA,89,6908.1476404494315,0
SONEBHADRA,40,49866.26675000001,0
SONEPAT,790,114498.90412213777,0
SONEPUR,1,8366.04,0
SONIPAT,1927,59105.98047321897,0
"SONIPAT GOHANA GOHANA",5,20451.33,0
SONITPUR,71,12274.085774647883,0
SONPETH,1,2111.52,0
"SOPARA  MUMBAI",9,302.84999999999997,0
"SOPARA MUMBAI THANE",1,970.14,0
"SOSUR MAIN ROAD BANGALORE",2,17122.08,0
"SOUTH 24 PARGANAS",936,20134.23869848154,0
"SOUTH 24 PARGANS",5,0.85,0
"SOUTH 24 PGS",14,12737.102142857142,0
"SOUTH ANDAMAN",3,2669.09,0
"SOUTH BANASHANKARI 3 STG BANGALORE",5,113652.00999999998,0
"SOUTH BANGALORE",37,8305.70162162162,0
"SOUTH BIDAR",9,34727.31,0
"SOUTH BOPAL AHMEDABAD",24,102520.65999999999,0
"SOUTH COIMBATORE",1,27.53,0
"SOUTH DELHI",165,42919.56509090914,0
"SOUTH DELHI DELHI",24,122675.6841666667,0
"SOUTH DINAJPUR",8,8538.64,0
"SOUTH EAST DELHI",3,172.16,0
"SOUTH ELECTRONICS CITY BANGALORE",20,95436.51,0
"SOUTH GOA",37,31348.353513513517,0
"SOUTH HEDLAND",3,811.96,0
"SOUTH INDIA SHOPPING MALL HYDERABAD",1,234.14,0
"SOUTH JAYANAGAR III BLOCK BANGALORE",1,3512.65,0
"SOUTH KONANAKE BANGALORE",10,0.31999999999999995,0
"SOUTH MORANG",5,149700.38,0
"SOUTH SIKKIM",3,19275.96,0
"SOUTH TRIPURA",4,1186.5275000000001,0
"SOUTH TWENTY FOUR PARAGANAS",1,1150.07,0
"SOUTH TWENTY FOUR PARGANAS",30,17845.451999999994,0
"SOUTH WEST DELHI",49,26957.960000000006,0
"SOUTH WEST DELHI DELHI",23,52355.16217391304,0
"SOUTH WEST DELHI NEW DELHI",2,25470.13,0
"SOUTH WINDSOR",20,12977.47,0
SOUTHALL,3,4.71,0
"SOUTHWEST DELHI",1,425.1,0
"SPAZE GURGAON",1,1211.62,0
SPEYER,1,91623.42,0
"SPOT ST THOMAS TOWN POST BANGALORE",6,413998.29,0
"SPRING HILL",1,105793.07,0
"SPRINGS BANGALORE",1,4967676.33,0
"SQUARE WO NO 22 NAGPUR",3,339.05,0
"SREERAM PORE",21,10676.94,0
"SRI GANGANAGAR",24,15585.754166666668,0
"SRI GOFWARA",16,5.519999999999998,0
"SRI HARGOBINDPUR",8,4310.45,0
"SRI MUKTSAR SAHIB",9,309347.13,0
SRIDHARNAGAR,7,1181.03,0
SRIGANAGAR,1,39838.17,0
SRIGANGANAGAR,41,230704.4080487805,0
"SRIKAKUKLAM DT",5,18.53,0
SRIKAKULAM,516,21017.923112840446,0
"SRIKAKULAM DIST",4,36906.115,0
SRIKALAHASTI,13,87.38000000000001,0
"SRILINGAMPALLE RANGAREDDY HYDERABAD",4,26928.26,0
"SRINAAR COLONY HYDERABAD",4,28084.23,0
SRINAGAR,759,181329.14598155458,0
SRINGERI,1,1744.02,0
SRINIVASPURI,13,34867.07,0
SRIPERUMBUDHUR,1,65735.64,0
SRIPERUMBUDUR,910,22863.50191629957,0
"SRIPERUMBUDUR TAL KANCHIPURAM DIST",14,123.89000000000003,0
"SRIPERUMBUDUR TALUK KANCHEEPURAM",1,0.04,0
"SRIPERUMBUDUR TALUK KANCHIPURAM",1,324.43,0
"SRIPERUMBUDUR TALUK KANCHIPURAM DT",1,36135.78,0
"SRIPERUMBUDUR TK",23,32.32913043478261,0
"SRIPERUMBUDUR TK KANCHEEPURAM",2,9211.51,0
SRIPERUMBVDUR,1,66.57,0
SRIPERUMPUDUR,3,386965.59,0
SRIPERUMUBUDUR,4,45135.4,0
SRIPRUMBUDUR,1,7603.55,0
"SRIPRUMBUDUR TK KANCHEEPURAM DIST",7,28426.81,0
SRIVILLIPUTHUR,22,27038.612727272728,0
SRIVILLIPUTTUR,6,12540.343333333332,0
"SRK NAGAR POST BANGALORE",2,8013.66,0
SRUNGAVARAPUKOTA,2,14740.54,0
"ST CRUZ",30,13062.374666666672,0
"ST FRANCIS SCHOOL BANGALORE",3,25379.06,0
"ST INEZ PANJIM",2,54777.34,0
"ST JOSE DE AREAL",1,20822.21,0
"ST JOSEDH BANGALORE",17,8155.14,0
"ST THANE",2,6059.55,0
"ST THOMAS POST BANGALORE",15,8950.5,0
"ST THOMAS TOWN BANGALORE",22,11909.350000000004,0
"ST THOMAS TOWN POST BANGALORE",44,8029.690000000001,0
"STADIUM PUNE",5,12920.79,0
STAFFORD,2,34014.97,0
"STAGE BANGALORE",66,136843.5713636364,0
"STAGE BANGALORE SOUTH BANGALORE",1,1292,0
"STAGE INDIRANAGAR,BANGALORE",2,19862.26,0
"STAGE NEAR VIJAYA BANK BANGALORE",1,30.97,0
STAINES,12,10109.97,0
"STAND CHENNAI",2,20068.13,0
"STAND KOLKATA",11,509833.07000000007,0
"STAND LUCKNOW",1,363.21,0
"STAND OJHAR (MIG)",9,58161.85999999999,0
"STANDARD CHARTED BANK HYDERABAD",25,22278.791599999997,0
"STANDARD CHARTERED BANK HYDERABAD",6,13739.736666666666,0
"STAR THANE",1,197022.22,0
"STATE BANK OF MYSORE PUNE",23,2615.0473913043475,0
"STATION BANGALORE",106,88832.47811320763,0
"STATION BATALA",2,12449.14,0
"STATION CHENNAI",1,11410.72,0
"STATION COLABA MUMBAI",1,3207.52,0
"STATION CUTTACK",1,14836.7,0
"STATION DELHI",1,13674.34,0
"STATION DONGRI CHINCHBUNDER MUMBAI",11,5055.949999999999,0
"STATION ELPHINSTONE ROAD MUMBAI",2,2647.5,0
"STATION GURGAON",2,3432.74,0
"STATION HYDERABAD",1,25906.96,0
"STATION KAMRUP GUWAHATI",5,12162.14,0
"STATION KAUSHAMBI",3,185830.5,0
"STATION KOLKATA",9,11208.270000000002,0
"STATION MUMBAI",14,29118.02214285715,0
"STATION MUMBRA THANE",1,13392.06,0
"STATION NA HYDERABAD",1,8176.55,0
"STATION NEW DELHI",22,11722.156818181818,0
"STATION NEW DELHI NEW DELHI",1,615.32,0
"STATION PUNE",7,112090.75285714286,0
"STATION ROAD KALYAN WEST",2,35085.14,0
"STATION SECUNDERABAD",3,2701.54,0
"STATION SION MUMBAI",2,133.8,0
"STATION SOUTH 24 PARGANAS",3,393.3999999999999,0
"STATION SRIRAMPURAM BANGALORE",6,39267.72,0
"STATION TARAPUR SILCHAR",3,31069.150000000005,0
"STATION THANE",2,64.44,0
"STATION VARACHHA",6,63062.33999999999,0
"STATION WOC RD RAJAJINGR BANGALORE",2,6662.85,0
"STATUE PUNE",17,13335.359999999997,0
"STATUE SECUNDERABAD",7,5647.900000000001,0
STCRUZ,1,8268.28,0
"STEEL CTM AMARAIWADI AHMEDABAD",2,638.72,0
"STEELHOUSE HYDERABAD",2,201773.83,0
"STELLA VASAI THANE BASSEIN ROAD",1,1325.41,0
STILLORGAN,1,9934.69,0
"STN RD NALLASOPARA EAST PALGHAR",14,443290.6500000001,0
"STN WOC RD RAJAJINAGAR BANGALORE",3,14374.43,0
"STN WOC ROAD RAJAJINAGAR BANGALORE",18,66.69000000000003,0
STOCKHOLM,1,49368.91,0
STOCKPORT,5,215445.73000000004,0
"STOP BANGALORE",50,88695.19199999995,0
"STOP HYDERABAD",5,1031.25,0
"STOP KOLKATA",1,14788.35,0
"STOP MUMBAI",15,70107.20733333332,0
"STOP SECUNDERABAD",2,31069.92,0
NULL,151,91726.92953642388,0
.,86,2432909.4538372066,0
".-PURAM, BANGALORE",36,275004.02444444445,0
"(154) BHASKOLA FARIDABAD",11,49388.08999999999,0
"(BEFORE YMCA BLDG) CHENNAI",1,659.33,0
"(BENAKA MDTS) BANGALORE",20,57.239999999999995,0
"(BRINDA BAN ) KOLKATA",5,7967.890000000001,0
"(DT) HOSUR",11,6134.27,0
"(E) MUMBAI",44,33171.09409090909,0
"(E) THANE SECTOR 3",1,82488.89,0
"(EAST) DAHISAR MUMBAI",1,16494.66,0
"(EAST) MUMBAI",52,58718.17269230766,0
"(EAST) THANE",22,6863.134090909089,0
"(INDIA ) NAGPUR",8,4246.43,0
"(KH) TAL MULSHI PUNE",4,1414.4450000000002,0
"(MCORP) 1/C NR HOTEL GRANT MUMBAI",2,1062600.5,0
"(METRO) NR RAM MANDIR KAMRUP(METRO)",2,424.51,0
"(MOHALI) KHARAR",13,502.6469230769231,0
"(N) 24 PGS",6,129033.29,0
"(NEAR AUDI SHOWROOM) BANGALORE",2,9577.71,0
"(PIGEN) BANGALORE",5,12.097999999999999,0
"(PITAMPURA) NEW DELHI",2,166345.67,0
"(RLY) NAGPUR",8,76634.96999999999,0
"(SAHIBABAD) GHAZIABAD",3,308.32,0
"(SOMWARPET KODAGU)",1,4514.03,0
"(SUB URBAN) MUMBAI",20,319647.5,0
"(SUBURBAN) MUMBAI",20,4252.189999999999,0
(THANE),4,4122.61,0
"(URBAN) KRISHNA",20,3072.11,0
"(URBAN) MAHARANIPETA VISAKHAPATNAM",7,344878.33,0
"(VIA) SALEM",6,50.06,0
"(W)  MUMBAI",22,16123.501818181814,0
"(W) MUMBAI",64,16706.60593749999,0
"(W) MUMBAI MUMBAI",2,4361.335,0
"(W) NEAR RAMDEV MANDIR MUMBAI",1,5208462.39,0
"(W) S V RD MUMBAI",1,6624.12,0
"(W) THANE",14,8852.454615384617,0
"(WEST) DELHI",3,419393.17,0
"(WEST) DIST PALGHAR PALGHAR",2,8474.51,0
"(WEST) MUMBAI",58,25321.340344827582,0
"1 GURGAON",6,1793339.5600000003,0
"10TH TO 11TH CROSS BANGALORE",7,12125.682857142858,0
"111 BLOCK BANGALORE BANGALORE",2,11325.48,0
"117 GREATER MOHALI MOHALI",1,41021.06,0
"12 DWARKA NEW DELHI",3,3343.98,0
"127 ANDHERI KURLA RD ANDHERI MUMBAI",7,150752.67,0
"13 GORAKHPUR",1,68.04,0
"13-5-431/A/1 HYDERABAD",6,74422.15000000001,0
"157/4 NEELKANTH NAGAR MUMBAI",4,125835.73,0
"1600806 BANGALORE",3,4782.82,0
"1601203 BANGALORE",1,7034.88,0
"1601259 BANGALORE",1,58.15,0
"1601360 BANGALORE",1,3152.87,0
"1601530 BANGALORE",2,83.89,0
"1601672 BANGALOE",1,7234.4,0
"1601944 BANGALORE",1,82.84,0
"1601967 BANGALORE",2,81,0
"18 CTS 65 CHEMBUR MUMBAI",10,232.78000000000003,0
"19D VASHI NAVI MUMBAI",1,9609.28,0
"1ST BLK JAKKASANDRA BANGALORE",21,45600.54857142855,0
"1ST BLOCK BANGALORE",22,7602.809999999999,0
"1ST STAGE MYSORE",11,96236.17545454548,0
"2 GOREGAON (E) MUMBAI",3,33630.81,0
"2 THAKUR VILLAGE KANDIVALI  MUMBAI",15,98295.86000000003,0
"21 A FARIDABAD",1,138588.45,0
"21A FARIDABAD",67,12654.85,0
"21A FARIDBAD",3,37151,0
"24  P G S (S)",4,12556.93,0
"24 AND 25A GURGAON",1,14445.27,0
"24 KARAT MUMBAI",5,155892.47,0
"24 PARGANAS",25,14023.053999999998,0
"24 PARGANAS KOLKATA",3,33380.42,0
"24 PARGANAS N",7,182.09999999999997,0
"24 PARGANAS NEW RAIPUR",8,27853.66999999999,0
"24 PARGANAS NORTH",1,4902.63,0
"24 PARGANAS SOUTH 24 PARGANAS",1,2445.71,0
"24 PARGANS (S)",12,68.64,0
"24 PGNS NORTH",74,6287.039999999993,0
"24 PGR NORTH",5,7802.55,0
"24 PGS",4,13628.76,0
"24 PGS N",28,41999.25214285713,0
"24 PGS NORTH",12,44801.75083333333,0
"270 PLOT NO 4 RAJKOT",5,31340.359999999997,0
"27B FARIDABAD",4,18076.39,0
"283984 DUBAI UAE DUBAI",8,21671.48,0
"2ND A CROSS BENGALURU",4,110511.44,0
"2ND FLOOR HYDERABAD",1,5353.52,0
"2ND RABODI THANE",14,51569.93000000001,0
"2ND STAGE BANGALORE",8,10693.003749999998,0
"3 BANGALORE",15,180.67000000000004,0
"3 KALYANI NAGAR PUNE",7,70010.26714285715,0
"3 NAVI MUMBAI",7,250.81999999999996,0
"373078374 PO BOX 48865 DUBAI",12,236455.16000000003,0
"39 OPP HSBC BUILDING GURGAON",29,9113.070000000005,0
"3IGI AIRPORT DELHI",26,4223.220769230771,0
"3RD BLOCK BANGALORE",13,1604.609230769231,0
"3RD BLOCK KORAMANGALA BANGALORE",6,28701.94,0
"3RD FLR HYDERABAD",2,52.65,0
"3RD STAGE BANGALORE",3,113.24,0
"4 BUNGLOW MUMBAI",12,61183.349999999984,0
"4 DELHI",4,62.95,0
400012,2,20333.19,0
"43 SEC 11 CBD BELAPUR NAVI MUMBAI",5,124350.16,0
"554/4 MODERN COLLEGE RD PUNE",7,53963.93,0
"5TH BLOCK KORAMANGALA BANGALORE",7,23246.84,0
"5TH PHASE BANGALORE",12,24211.039999999997,0
"6 DWARKA NEW DELHI",1,4237.26,0
"68A 69 69A KAMOTHE NAVI MUMBAI",1,326.35,0
"6TH STAGE BTM LAYOUT BANGALORE",2,14086.76,0
"7390015 BANGALORE",3,134.86,0
"7390041 BANGALORE",12,14653.619999999997,0
"8 IMT MANESAR GURGAON",12,12503.880000000003,0
"80 FEET RD BANGALORE",1,52264.83,0
"80 FEET RD KORAMANGALA BANGALORE",6,39970.24,0
"8TH PHASE JP NAGAR BANGALORE",1,23.83,0
"9 HOTEL PUNE",1,47561.5,0
"9A MALLESHWARAM BANGALORE",144,325.5100000000001,0
"A AND N ISLANDS",4,30926.63,0
"A GHATKOPAR WEST MUMBAI",1,10293.15,0
"A TEMPLE HYDERABAD",9,4701.510000000001,0
"A THAKUR MALL THANE",4,182887.33,0
"AAKASH WINE SHOP MUMBAI",5,59709.81,0
"AAREYMILK COLONY MUMBAI",15,10088.276666666665,0
"ABAMBAJI DHAM MUMBAI",1,2431.38,0
"ABASAN KOLKATA",1,17199.58,0
ABHANPUR,4,25025.29,0
"ABHIJATRI CLUB KHARAGPUR",1,15530.35,0
"ABHISHEK VEG PUNE",1,16614.48,0
"ABHUDAYA BANK NEW PANVEL",1,527.39,0
ABOHAR,6,6212.785,0
"ABOHAR (FEROZEPUR)",10,317281.04999999993,0
"ABOVE AASHWAD HOTEL MUMBAI",3,85088.65,0
"ABOVE CHIRAG MOTORS MUMBAI",5,34319.21,0
"ABOVE DR BATRA CLINIC BANGALORE",1,36.02,0
"ABOVE ICICI BANK BANGALORE",7,10134.6,0
"ABOVE REDWOOD FURNITURES BANGALORE",7,7133.181428571428,0
"ABOVE SUZUKI BANGALORE",12,4779.1449999999995,0
"ABOVE TOTAL SUPER STORE BANGALORE",51,43935.11372549019,0
"ABOVE TOTAL SUPERSTORE BANGALORE",2,5706.74,0
"ABOVE YES BANK BANGALROE",3,89314.95,0
"ABU DHABI",144,1079451.4625517244,0
"ABU DHABI 303",1,609663.73,0
"ABU ROAD",11,32723.116363636356,0
ABUDHABI,17,1015577.1235294116,0
ABUROAD,17,9544.472352941177,0
"ABUROAD SIROHI",1,89419.6,0
"ABV AXIS BANK NAGPUR",2,11861.48,0
"ACADEMY BANGALORE",1,9916.23,0
"ACADEMY SAMASTIPUR",5,546.29,0
ACANTT,1,4786.81,0
ACCRA,2,538398.82,0
"ACRCE CLUB CHEMBUR MUMBAI",5,14401.988000000001,0
"ACRES CLUB CHEMBUR",9,199.17000000000002,0
ADALAJ,3,20042.41,0
ADAMBAKKAM,9,25576.519999999997,0
ADAMPUR,26,46419.604230769226,0
"ADARSH NAGAR PUNE",4,11088.93,0
"ADARSHA JALPAIGURI",1,3352.68,0
"ADDA SONIPAT",2,25258.2,0
"ADDIS ABABD",5,1200266.96,0
ADHANUR,2,42028.1,0
"ADHARTAL JABALPUR",8,62883.43,0
ADILABAD,426,21006.41903981262,0
ADIPUR,71,18868.280579710154,0
"ADITYA MALL GHAZIABAD",8,66552.40000000001,0
ADITYAPUR,1,2748.18,0
ADOOR,27,2756.221851851853,0
"ADSULIM SALCETE",1,50.36,0
"ADUGODI ADUGODI BANGALORE",3,33.72,0
"ADUGODI POST BANGALORE",1,73477.39,0
ADYAR,6,595.85,0
"AERODROME POST COIMBATORE",12,34609.44,0
AFZALGARH,1,5445.18,0
AFZLAPUR,1,10.65,0
AGAR,8,246236.575,0
AGARA,26,59084.76,0
AGARTALA,630,212465.5302539682,0
"AGASHI THANE",3,87100.45,0
"AGENCY GREATER NOIDA",2,0.62,0
"AGILA COMPANY BACK SIDE HOSUR",1,222.96,0
"AGNES WATER",3,120507.39,0
AGONDA,1,NULL,0
AGRA,3635,128317.38953025639,0
"AGRA ROAD NASHIK",6,67461.58,0
"AGRA TUNDLA",5,3461276.8299999996,0
"AGRICULTURE AGARTALA",3,28332.819999999996,0
"AGRIPADA MUMBAI",12,113021.19999999997,0
AHAMADNAGAR,11,5882.616363636364,0
AHAMEDNAGAR,2,42221.39,0
AHEMDABAD,10,25133.764000000003,0
"AHILYABAI HOLKAR RD MUMBAI",2,3848.25,0
AHMAD,2,517610.88,0
"AHMAD NAGAR",2,6823.48,0
AHMADABAD,15,65048.08466666667,0
AHMADI,1,7090440.59,0
AHMADNAGAR,142,58574.999366197255,0
AHMADPUR,1,215084.39,0
"AHMED AND BROTHER TIMBER MART",3,5951.149999999999,0
"AHMED NAGAR",41,88310.5,0
AHMEDABAD,12229,96478.51727852246,0
"AHMEDABAD AHMEDABAD",8,34063.659999999996,0
"AHMEDABAD CITY",13,100098.28000000001,0
"AHMEDABAD G P O AHMEDABAD",2,38846.44,0
"AHMEDABAD SANAND",1,92330.41,0
AHMEDBAD,2,21538.515,0
AHMEDGARH,16,44749.743125000015,0
AHMEDNAGAR,594,113561.6528403361,0
"AIMS HOSPITAL THANE",8,126893.63,0
"AIR PORT ROAD BEGUMPET HYDERABAD",5,26666.890000000003,0
"AIROL AIROLI THANE",8,3090.11,0
AIROLI,4,11221.467499999999,0
"AIROLI MUMBAI",5,8097.839999999999,0
"AIROLI NAVI MUMBAI",66,38104.53196969697,0
"AIROLI TEHSIL THANE THANE",2,69.17,0
"AIROLI THANE DIGHA NAVI MUMBAI",1,2.26,0
"AIRPORT BANGALORE",34,40706.87999999997,0
"AIRPORT DEVANAHALLI BANGALORE",20,3645.351000000001,0
"AIRPORT RD BANGALORE",8,183633.09000000003,0
"AIRPORT RD EMP IN P11875 BANGAORE",42,24778.71999999998,0
"AIRTEL BLDG GURGAON",1,65137.75,0
AIT,3,1432.46,0
AIZAWL,268,40187.29928838955,0
"AIZAWL, MIZORAM",40,5168.506750000001,0
AIZWAL,6,3969.525000000001,0
AJITGARH,1,7697.38,0
"AJIVALI PANVEL",2,13081.91,0
AJMAN,12,139608.675,0
AJMER,651,95350.38689708161,0
AJNALA,63,353370.3034375001,0
"AJWA ROAD BARODA",1,0.52,0
"AK ROAD SURAT",3,673587.17,0
"AKANKHA KOLKATA",5,10397.18,0
AKHINI,1,107551.31,0
AKOLA,148,17553.087094594597,0
"AKRUTI TRADE CENTRE MUMBAI",3,5424.79,0
"AKSHAR CMPL SURAT",1,7.38,0
"AKSHAY MITTAL MUMBAI",1,23577.99,0
"AKSHAYA NAGAR",1,2312.09,0
"AKURDI PUNE",21,177.05999999999997,0
"AL AIN",8,2668,0
"AL JUBAIL",4,939565.2575000001,0
"AL JUBAIL INSUDTRIAL",2,1388775.74,0
"AL KHOBAR",7,75085.93714285715,0
"AL KHOBAR 31952",1,198958.97,0
"AL NAHDA",1,219.2,0
"AL NAKHEEL",2,10187.41,0
"AL QUOZ IND 3",3,130472.96,0
"AL SALIMYA",2,39766.12,0
"AL SALMIYA",16,36619.935625,0
"AL WAKRA",1,13101.81,0
ALAIN,4,17828.1,0
"ALAM ROZA AHMEDABAD",2,59625.5,0
"ALANDI DEVACHI PUNE",3,15366.67,0
ALAPPUZHA,440,21450.118318181816,0
ALAPUZHA,9,14594.46111111111,0
"ALAPUZHA DT",6,12.43,0
ALATHUR,1,58145.79,0
ALBION,2,26068.96,0
ALDONA,25,87252.09520000004,0
ALENCODVILAI,8,658.87,0
ALER,2,11498.01,0
"ALIAS DAULATPUR NASIRABAD63 GURGAON",1,15662.39,0
ALIBAG,10,35760.05200000001,0
ALIGANJ,2,106879.5,0
ALIGARH,1566,46048.492728434496,0
ALIPI,16,45654.14000000001,0
ALIPURDUAR,3,6764.91,0
ALLAHABAD,1968,77196.67386916863,0
"ALLAHABAD ALLAHABAD",7,1746.8099999999997,0
ALLAPPUZHA,2,374.37,0
ALLD,1,52004.7,0
ALLEPEY,3,1724913.75,0
ALLEPPEY,49,30454.108163265322,0
ALLOOR,9,36376,0
"ALMOND HOUSE HYDERABAD",1,105.53,0
ALMORA,280,10258.457285714301,0
"ALMORA BHIKIYASEN",2,49.83,0
ALORE,4,5993.36,0
ALPPEY,3,12886.450000000003,0
"ALTO PORVORIM",9,343760.5088888889,0
"ALTO ST CRUZ ILHAS",1,849206.1,0
ALTO-PROVORIM,1,37835.7,0
"ALTOTORDA BARDEZ",54,72809.10999999997,0
ALUVA,48,77292.77,0
"ALWAL HYDERABAD",18,3548.64,0
ALWAR,1993,65356.437104733326,0
"ALWAR BHIWADI",1,6.39,0
"ALWAR RAJ",1,72.2,0
"ALWARDAS GROUND VISAKHAPATNAM",7,30171.859999999993,0
AMALAPURAM,8,4201.845,0
AMALNER,5,16173.24,0
AMALSADA,6,370.06,0
AMARAVATI,26,26806.27730769232,0
AMB,19,4185.2126315789465,0
"AMBAD NASHIK",1,3070.26,0
AMBAK,1,0.52,0
AMBALA,1350,330220.4017612378,0
"AMBALA CANT",12,8304.867500000002,0
"AMBALA CANTONMENT",57,28197.097543859643,0
"AMBALA CANTT",791,122521.40433628386,0
"AMBALA CANTT.",1,497112.71,0
"AMBALA CITY",147,46260.3719310345,0
AMBALACANTT,1,13345.42,0
"AMBALAL DOSHI MARG FORT MUMBAI",1,148069.59,0
"AMBANI HIGH SCHOOL SURAT",8,48575.950000000004,0
AMBARNATH,60,24247.5625,0
"AMBARNATH EAST",1,8275.54,0
"AMBARNATH EAST THANE",6,101497.29,0
"AMBARNATH KALYAN EAST THANE",2,12398.9,0
"AMBARNATH THANE",26,9386.351428571428,0
"AMBARNATH THANE BADLAPUR",1,2753.54,0
"AMBARNATH THANE THANE",12,12148.410000000002,0
